,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10
OTU_069,25,10,3,9,11,2,0,9,20,6,16,0,12,7,0,49,34,12,4,36
OTU_070,7,9,52,44,26,55,2,21,31,12,0,0,0,0,0,0,0,0,0,0
OTU_071,3,0,0,6,6,0,8,0,3,8,9,23,32,15,9,65,45,9,16,0
OTU_072,0,0,0,0,0,0,0,0,0,0,42,0,65,25,35,40,11,18,6,9
OTU_073,3,2,14,5,13,19,6,5,0,6,28,17,16,23,18,19,4,18,24,11
OTU_074,0,0,0,0,0,0,0,0,0,0,35,0,36,46,9,57,18,8,14,24
OTU_075,22,75,4,22,36,9,16,5,43,14,0,0,0,0,0,0,0,0,0,0
OTU_076,0,0,0,0,0,0,0,0,0,0,4,0,40,25,47,97,28,0,3,0
OTU_077,3,13,8,1,1,1,21,7,7,5,22,8,42,11,22,13,0,15,18,25
OTU_078,0,0,11,0,2,0,0,3,2,0,3,0,41,41,0,14,49,5,29,41
OTU_079,41,0,1,0,0,4,0,6,16,0,26,0,0,8,5,69,23,0,7,33
OTU_080,28,11,75,53,24,0,29,14,0,4,0,0,0,0,0,0,0,0,0,0
OTU_081,0,0,0,0,0,0,0,0,0,0,33,0,22,12,47,53,20,17,19,13
OTU_082,0,19,22,15,4,10,8,1,13,9,13,10,13,11,16,7,18,0,20,27
OTU_083,0,0,4,3,3,3,3,2,0,0,18,31,8,0,3,22,81,1,3,42
OTU_084,0,0,0,0,0,0,0,0,0,0,0,22,22,20,19,86,8,15,15,19
OTU_085,11,0,5,9,19,0,4,1,25,29,14,0,25,0,5,20,5,6,9,35
OTU_086,4,1,0,88,55,3,0,0,0,8,12,0,0,0,19,6,0,7,0,11
OTU_087,1,2,12,24,0,0,0,24,4,2,6,13,98,0,0,0,4,12,1,10
OTU_088,23,0,0,0,2,0,2,0,22,19,64,0,0,0,14,20,3,7,17,20
OTU_089,0,0,0,0,0,0,0,0,0,0,43,0,10,29,22,22,7,21,38,16
OTU_090,7,30,8,59,7,1,0,6,0,0,13,0,10,0,9,7,6,11,18,15
OTU_091,5,24,0,17,0,2,7,13,20,15,3,3,21,6,3,52,5,1,3,6
OTU_092,0,9,14,0,3,20,1,0,0,2,6,0,63,29,32,0,0,14,0,12
OTU_093,0,4,6,11,0,0,0,0,0,0,25,0,22,19,0,57,3,12,0,42
OTU_094,0,0,0,0,0,0,0,0,0,0,41,0,31,20,31,23,0,20,32,0
OTU_095,0,0,0,0,0,0,0,0,0,0,12,0,36,8,23,53,11,20,31,3
OTU_096,2,7,12,0,0,15,0,1,7,7,2,0,29,26,8,20,7,20,19,12
OTU_097,0,0,0,0,0,0,0,0,0,0,17,0,36,39,19,13,3,5,32,30
OTU_098,0,0,0,0,0,0,0,0,0,0,12,0,0,10,6,65,34,0,4,56
OTU_099,0,0,0,0,0,0,0,0,0,0,10,4,9,14,33,36,30,8,31,10
OTU_100,0,0,0,159,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8
OTU_101,5,0,11,21,1,13,29,0,11,0,17,0,7,9,30,0,7,8,11,0
OTU_102,1,3,2,20,0,4,0,10,0,10,4,0,9,0,0,3,4,7,23,75
OTU_103,0,0,0,8,21,0,10,23,5,17,2,0,0,7,3,22,18,0,4,33
OTU_104,0,4,5,8,1,2,25,30,19,3,0,0,11,0,0,0,22,0,0,40
OTU_105,0,0,1,9,0,2,24,0,1,1,22,27,0,19,9,0,26,1,9,19
OTU_106,19,24,18,2,7,12,41,27,0,9,0,0,10,0,0,0,0,0,0,0
OTU_107,26,2,0,37,0,6,0,0,4,0,21,0,0,32,0,15,3,0,23,0
OTU_108,4,8,8,56,5,1,25,16,13,21,0,0,0,5,0,0,0,4,0,0
OTU_109,0,0,0,0,0,0,0,0,0,0,19,0,33,14,18,45,0,16,18,1
OTU_110,0,0,0,0,0,0,0,0,0,0,8,0,32,0,13,32,0,36,17,25
